"","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityRelativeDepthName","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ProjectName","ActivityConductingOrganizationText","MonitoringLocationIdentifier","MonitoringLocationName","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","ActivityLocation.LatitudeMeasure","ActivityLocation.LongitudeMeasure","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionMethod.MethodDescriptionText","SampleCollectionEquipmentName","ResultIdentifier","ResultDetectionConditionText","MethodSpeciationName","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","DataQuality.PrecisionValue","DataQuality.BiasValue","DataQuality.ConfidenceIntervalValue","DataQuality.UpperConfidenceLimitValue","DataQuality.LowerConfidenceLimitValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","BinaryObjectFileName","BinaryObjectFileTypeCode","ResultFileUrl","ResultAnalyticalMethod.MethodName","ResultAnalyticalMethod.MethodUrl","ResultAnalyticalMethod.MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","ResultDetectionQuantitationLimitUrl","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","LabSamplePreparationUrl","LastUpdated","ProviderName","timeZoneStart","timeZoneEnd","ActivityStartDateTime","ActivityEndDateTime","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","LocalAqfrName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","MethodSpecificationName","ProjectDescriptionText","SamplingDesignTypeCode","QAPPApprovedIndicator","QAPPApprovalAgencyName","ProjectFileUrl","ProjectMonitoringLocationWeightingUrl","Removed","tab","TADA.ResultValueAboveUpperThreshold.Flag","TADA.ResultValueBelowLowerThreshold.Flag","TADA.LatitudeMeasure","TADA.LongitudeMeasure","TADA.InvalidCoordinates.Flag","TADA.QAPPDocAvailable","TADA.ActivityMediaName","TADA.CharacteristicName","TADA.AggregatedContinuousData.Flag","TADA.ResultMeasureValue","TADA.ResultMeasureValueDataTypes.Flag","TADA.ResultMeasure.MeasureUnitCode","TADA.ResultUnit.Flag","TADA.MethodSpecificationName","TADA.AnalyticalMethod.Flag","TADA.MethodSpeciation.Flag","TADA.ResultSampleFractionText","TADA.SampleFraction.Flag","TADA.DetectionQuantitationLimitMeasure.MeasureValue","TADA.DetectionQuantitationLimitMeasure.MeasureUnitCode","TADA.DetectionQuantitationLimitMeasure.MeasureValueDataTypes.Flag","TADA.ActivityDepthHeightMeasure.MeasureValue","TADA.ActivityDepthHeightMeasure.MeasureUnitCode","TADA.ActivityDepthHeightMeasure.MeasureValueDataTypes.Flag","TADA.ActivityTopDepthHeightMeasure.MeasureValue","TADA.ActivityTopDepthHeightMeasure.MeasureUnitCode","TADA.ActivityTopDepthHeightMeasure.MeasureValueDataTypes.Flag","TADA.ActivityBottomDepthHeightMeasure.MeasureValue","TADA.ActivityBottomDepthHeightMeasure.MeasureUnitCode","TADA.ActivityBottomDepthHeightMeasure.MeasureValueDataTypes.Flag","TADA.CensoredData.Flag"
"1","4500-NORG D","APHA","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-CUWJPRESJR220421-5914010-0421-2-C","Sample-Integrated Vertical Profile","Water",NA,2022-04-21,"08:36:00","MST",NA,NA,NA,"Surface",NA,NA,NA,0,"m",2,"m","306","Cooperative Monitoring","Central Utah Water Conservancy District","UTAHDWQ_WQX-5914010","JORDANELLE RES AB DAM 01",NA,NA,NA,NA,"40.6007800000","-111.4157500000","DWQ-001","UTAHDWQ_WQX","Water Grab Sampling",NA,"Miscellaneous (Other)","STORET-966357894","Not Detected","as N","Nitrogen","Dissolved",NA,"mg/L","U","Accepted",NA,"Calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not detected/reported",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500 NORG D ~ Block Digestion and Flow Injection Analysis",NA,NA,"Chem-Tech Ford",2022-05-04,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/UTAHDWQ_WQX/activities/UTAHDWQ_WQX-CUWJPRESJR220421-5914010-0421-2-C/results/966357894/resdetectqntlmts","Lower Reporting Limit",1,"mg/L",NA,"2023-01-31 19:56:35.0","STORET",7,NA,2022-04-21 15:36:00,NA,"Lake",NA,"16020203",NA,NA,NA,NA,"40.6007800000","-111.4157500000",NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","49","051",NA,NA,NA,NA,NA,NA,NA,NA,NA,"as N","This will include sampling performed routinely by our federal, state, and local governmental cooperating agencies.",NA,"N",NA,NA,NA,FALSE,"Flag","No threshold available","No threshold available",40.60078,-111.41575,"OK","N","WATER","NITROGEN","Unknown",1,"Result Value/Unit Copied from Detection Limit","MG/L","Nonstandardized","AS N","Valid","Valid","DISSOLVED","Valid",1,"MG/L","Numeric",NA,NA,"ND or NA",0,"ft","Numeric",6.56168,"ft","Numeric","Non-Detect"
"2","4500-NORG D","APHA","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-CUWJPRESJR220816-5914040-0816-2-C","Sample-Integrated Vertical Profile","Water",NA,2022-08-16,"12:04:00","MST",NA,NA,NA,"Surface",NA,NA,NA,0,"m",2,"m","306","Cooperative Monitoring","Central Utah Water Conservancy District","UTAHDWQ_WQX-5914040","JORDANELLE RES PROVO ARM 04",NA,NA,NA,NA,"40.6030100000","-111.3851800000","DWQ-001","UTAHDWQ_WQX","Water Grab Sampling",NA,"Miscellaneous (Other)","STORET-966361177","Not Detected","as N","Nitrogen","Dissolved",NA,"mg/L","U","Accepted",NA,"Calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not detected/reported",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500 NORG D ~ Block Digestion and Flow Injection Analysis",NA,NA,"Chem-Tech Ford",2022-08-31,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/UTAHDWQ_WQX/activities/UTAHDWQ_WQX-CUWJPRESJR220816-5914040-0816-2-C/results/966361177/resdetectqntlmts","Lower Reporting Limit",1,"mg/L",NA,"2023-01-31 19:58:18.0","STORET",7,NA,2022-08-16 19:04:00,NA,"Lake",NA,"16020203",NA,NA,NA,NA,"40.6030100000","-111.3851800000",NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","49","051",NA,NA,NA,NA,NA,NA,NA,NA,NA,"as N","This will include sampling performed routinely by our federal, state, and local governmental cooperating agencies.",NA,"N",NA,NA,NA,FALSE,"Flag","No threshold available","No threshold available",40.60301,-111.38518,"OK","N","WATER","NITROGEN","Unknown",1,"Result Value/Unit Copied from Detection Limit","MG/L","Nonstandardized","AS N","Valid","Valid","DISSOLVED","Valid",1,"MG/L","Numeric",NA,NA,"ND or NA",0,"ft","Numeric",6.56168,"ft","Numeric","Non-Detect"
"3","4500-NORG D","APHA","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-CUWJPRESDC211021-5913220-1021-2-C","Sample-Routine","Water",NA,2021-10-21,"09:43:00","MST",NA,NA,NA,"Surface",NA,NA,NA,0,"m",2,"m","306","Cooperative Monitoring","Central Utah Water Conservancy District","UTAHDWQ_WQX-5913220","DEER CREEK RES AB DAM 01",NA,NA,NA,NA,"40.4091200000","-111.5235200000","DWQ-001","UTAHDWQ_WQX","Water Grab Sampling",NA,"Miscellaneous (Other)","STORET-945376980","Not Detected","as N","Nitrogen","Dissolved",NA,"mg/L","U","Accepted",NA,"Calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not detected/Not Reported",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500 NORG D ~ Block Digestion and Flow Injection Analysis",NA,NA,"Chem-Tech Ford",2021-11-01,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/UTAHDWQ_WQX/activities/UTAHDWQ_WQX-CUWJPRESDC211021-5913220-1021-2-C/results/945376980/resdetectqntlmts","Lower Reporting Limit",1,"mg/L",NA,"2022-07-20 15:12:35.0","STORET",7,NA,2021-10-21 16:43:00,NA,"Lake",NA,"16020203",NA,NA,NA,NA,"40.4091200000","-111.5235200000",NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","49","051",NA,NA,NA,NA,NA,NA,NA,NA,NA,"as N","This will include sampling performed routinely by our federal, state, and local governmental cooperating agencies.",NA,"N",NA,NA,NA,FALSE,"Flag","No threshold available","No threshold available",40.40912,-111.52352,"OK","N","WATER","NITROGEN","Unknown",1,"Result Value/Unit Copied from Detection Limit","MG/L","Nonstandardized","AS N","Valid","Valid","DISSOLVED","Valid",1,"MG/L","Numeric",NA,NA,"ND or NA",0,"ft","Numeric",6.56168,"ft","Numeric","Non-Detect"
"4","4500-NORG D","APHA","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-CUWSR201104-4936050-1104-2-C","Sample-Integrated Vertical Profile","Water",NA,2020-11-04,"10:49:00","MST",NA,NA,NA,"Surface",NA,NA,NA,0,"m",2,"m","306","Cooperative Monitoring","CUWCD","UTAHDWQ_WQX-4936050","STARVATION RES AB DAM 01",NA,NA,NA,NA,"40.1921800000","-110.4430700000","DWQ-001","UTAHDWQ_WQX","Water Grab Sampling",NA,"Miscellaneous (Other)","STORET-911743193","Not Detected","as N","Nitrogen","Dissolved",NA,"mg/L","U","Accepted",NA,"Calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not detected/reported",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500 NORG D ~ Block Digestion and Flow Injection Analysis",NA,NA,"Chem-Tech Ford",2020-11-16,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/UTAHDWQ_WQX/activities/UTAHDWQ_WQX-CUWSR201104-4936050-1104-2-C/results/911743193/resdetectqntlmts","Lower Reporting Limit",1,"mg/L",NA,"2021-09-08 10:47:42.0","STORET",7,NA,2020-11-04 17:49:00,NA,"Lake",NA,"14060004",NA,NA,NA,NA,"40.1921800000","-110.4430700000",NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","49","013",NA,NA,NA,NA,NA,NA,NA,NA,NA,"as N","This will include sampling performed routinely by our federal, state, and local governmental cooperating agencies.",NA,"N",NA,NA,NA,FALSE,"Flag","No threshold available","No threshold available",40.19218,-110.44307,"OK","N","WATER","NITROGEN","Unknown",1,"Result Value/Unit Copied from Detection Limit","MG/L","Nonstandardized","AS N","Valid","Valid","DISSOLVED","Valid",1,"MG/L","Numeric",NA,NA,"ND or NA",0,"ft","Numeric",6.56168,"ft","Numeric","Non-Detect"
"5","4500-NORG D","APHA","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-CUWJPRESJR210526-5914010-0526-2-C","Sample-Integrated Vertical Profile","Water",NA,2021-05-26,"10:02:00","MST",NA,NA,NA,"Surface",NA,NA,NA,0,"m",2,"m","306","Cooperative Monitoring","Central Utah Water Conservancy District","UTAHDWQ_WQX-5914010","JORDANELLE RES AB DAM 01",NA,NA,NA,NA,"40.6007800000","-111.4157500000","DWQ-001","UTAHDWQ_WQX","Water Grab Sampling",NA,"Miscellaneous (Other)","STORET-930241988","Not Detected","as N","Nitrogen","Dissolved",NA,"mg/L","U","Accepted",NA,"Calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not detected/reported",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500 NORG D ~ Block Digestion and Flow Injection Analysis",NA,NA,"Chem-Tech Ford",2021-06-09,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/UTAHDWQ_WQX/activities/UTAHDWQ_WQX-CUWJPRESJR210526-5914010-0526-2-C/results/930241988/resdetectqntlmts","Lower Reporting Limit",1,"mg/L",NA,"2022-02-17 10:31:18.0","STORET",7,NA,2021-05-26 17:02:00,NA,"Lake",NA,"16020203",NA,NA,NA,NA,"40.6007800000","-111.4157500000",NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","49","051",NA,NA,NA,NA,NA,NA,NA,NA,NA,"as N","This will include sampling performed routinely by our federal, state, and local governmental cooperating agencies.",NA,"N",NA,NA,NA,FALSE,"Flag","No threshold available","No threshold available",40.60078,-111.41575,"OK","N","WATER","NITROGEN","Unknown",1,"Result Value/Unit Copied from Detection Limit","MG/L","Nonstandardized","AS N","Valid","Valid","DISSOLVED","Valid",1,"MG/L","Numeric",NA,NA,"ND or NA",0,"ft","Numeric",6.56168,"ft","Numeric","Non-Detect"
"6","4500-NORG D","APHA","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-CUWJPRESJR220421-5914040-0421-2-C","Sample-Integrated Vertical Profile","Water",NA,2022-04-21,"09:56:00","MST",NA,NA,NA,"Surface",NA,NA,NA,0,"m",2,"m","306","Cooperative Monitoring","Central Utah Water Conservancy District","UTAHDWQ_WQX-5914040","JORDANELLE RES PROVO ARM 04",NA,NA,NA,NA,"40.6030100000","-111.3851800000","DWQ-001","UTAHDWQ_WQX","Water Grab Sampling",NA,"Miscellaneous (Other)","STORET-966357966","Not Detected","as N","Nitrogen","Dissolved",NA,"mg/L","U","Accepted",NA,"Calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not detected/reported",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500 NORG D ~ Block Digestion and Flow Injection Analysis",NA,NA,"Chem-Tech Ford",2022-05-04,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/UTAHDWQ_WQX/activities/UTAHDWQ_WQX-CUWJPRESJR220421-5914040-0421-2-C/results/966357966/resdetectqntlmts","Lower Reporting Limit",1,"mg/L",NA,"2023-01-31 19:56:38.0","STORET",7,NA,2022-04-21 16:56:00,NA,"Lake",NA,"16020203",NA,NA,NA,NA,"40.6030100000","-111.3851800000",NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","49","051",NA,NA,NA,NA,NA,NA,NA,NA,NA,"as N","This will include sampling performed routinely by our federal, state, and local governmental cooperating agencies.",NA,"N",NA,NA,NA,FALSE,"Flag","No threshold available","No threshold available",40.60301,-111.38518,"OK","N","WATER","NITROGEN","Unknown",1,"Result Value/Unit Copied from Detection Limit","MG/L","Nonstandardized","AS N","Valid","Valid","DISSOLVED","Valid",1,"MG/L","Numeric",NA,NA,"ND or NA",0,"ft","Numeric",6.56168,"ft","Numeric","Non-Detect"
"7","4500-NORG D","APHA","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-CUWJPRESDC210923-5913490-0923-2-C","Quality Control Sample-Field Replicate","Water",NA,2021-09-23,"09:49:00","MST",NA,NA,NA,"Surface",NA,NA,NA,0,"m",2,"m","306","Cooperative Monitoring","Central Utah Water Conservancy District","UTAHDWQ_WQX-5913490","DEER CREEK RES AB DAM 01 Replicate of 5913220",NA,NA,NA,NA,"40.4091200000","-111.5235200000","DWQ-001","UTAHDWQ_WQX","Water Grab Sampling",NA,"Miscellaneous (Other)","STORET-930245130","Not Detected","as N","Nitrogen","Dissolved",NA,"mg/L","U","Accepted",NA,"Calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not detected/reported",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500 NORG D ~ Block Digestion and Flow Injection Analysis",NA,NA,"Chem-Tech Ford",2021-10-06,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/UTAHDWQ_WQX/activities/UTAHDWQ_WQX-CUWJPRESDC210923-5913490-0923-2-C/results/930245130/resdetectqntlmts","Lower Reporting Limit",1,"mg/L",NA,"2022-02-17 10:31:49.0","STORET",7,NA,2021-09-23 16:49:00,NA,"Lake","Replicate of 5913220","16020203",NA,NA,NA,NA,"40.4091200000","-111.5235200000",NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","49","051",NA,NA,NA,NA,NA,NA,NA,NA,NA,"as N","This will include sampling performed routinely by our federal, state, and local governmental cooperating agencies.",NA,"N",NA,NA,NA,FALSE,"Flag","No threshold available","No threshold available",40.40912,-111.52352,"OK","N","WATER","NITROGEN","Unknown",1,"Result Value/Unit Copied from Detection Limit","MG/L","Nonstandardized","AS N","Valid","Valid","DISSOLVED","Valid",1,"MG/L","Numeric",NA,NA,"ND or NA",0,"ft","Numeric",6.56168,"ft","Numeric","Non-Detect"
"8","D8083-16","ASTM","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-BORLP210615-5952422-0618-2-C","Quality Control Sample-Field Blank","Water",NA,2021-06-18,"18:30:00","MST",NA,NA,NA,"Surface",NA,NA,NA,0,"m",2,"m","306","Cooperative Monitoring","Bureau of Reclamation","UTAHDWQ_WQX-5952422","Bureau of Reclamation Lake Powell QAQC Blank",NA,NA,NA,NA,"40.7741300000","-111.9478900000","DWQ-001","UTAHDWQ_WQX","Water Grab Sampling",NA,"Miscellaneous (Other)","STORET-933819008","Not Detected","as N","Nitrogen","Total",NA,"mg/L","U","Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not detected/reported",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,NA,"Utah DOH Division of Epidemilogy and Laboratory Services",2021-07-06,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/UTAHDWQ_WQX/activities/UTAHDWQ_WQX-BORLP210615-5952422-0618-2-C/results/933819008/resdetectqntlmts","Lower Reporting Limit",0.2,"mg/L",NA,"2022-03-30 14:18:46.0","STORET",7,NA,2021-06-19 01:30:00,NA,"Lake","Field Blank","16020204",NA,NA,NA,NA,"40.7741300000","-111.9478900000",NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","49","035",NA,NA,NA,NA,NA,NA,NA,NA,NA,"as N","This will include sampling performed routinely by our federal, state, and local governmental cooperating agencies.",NA,"N",NA,NA,NA,FALSE,"Flag","No threshold available","No threshold available",40.77413,-111.94789,"OK","N","WATER","NITROGEN","Unknown",0.2,"Result Value/Unit Copied from Detection Limit","MG/L","Nonstandardized","AS N","Valid","Valid","TOTAL","Valid",0.2,"MG/L","Numeric",NA,NA,"ND or NA",0,"ft","Numeric",6.56168,"ft","Numeric","Non-Detect"
"9","D8083-16","ASTM","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-BORLP210920-5952422-0923-2-C","Quality Control Sample-Field Blank","Water",NA,2021-09-23,"15:10:00","MST",NA,NA,NA,"Surface",NA,NA,NA,0,"m",2,"m","306","Cooperative Monitoring","Bureau of Reclamation","UTAHDWQ_WQX-5952422","Bureau of Reclamation Lake Powell QAQC Blank",NA,NA,NA,NA,"40.7741300000","-111.9478900000","DWQ-001","UTAHDWQ_WQX","Water Grab Sampling",NA,"Miscellaneous (Other)","STORET-933819050","Not Detected","as N","Nitrogen","Dissolved",NA,"mg/L","U","Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not detected/reported",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard Test Method for Total Nitrogen, and Total Kjeldahl Nitrogen (TKN) by Calculation, in Water by High Temperature",NA,NA,"Utah DOH Division of Epidemilogy and Laboratory Services",2021-10-08,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/UTAHDWQ_WQX/activities/UTAHDWQ_WQX-BORLP210920-5952422-0923-2-C/results/933819050/resdetectqntlmts","Lower Reporting Limit",0.2,"mg/L",NA,"2022-03-30 14:18:47.0","STORET",7,NA,2021-09-23 22:10:00,NA,"Lake","Field Blank","16020204",NA,NA,NA,NA,"40.7741300000","-111.9478900000",NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","49","035",NA,NA,NA,NA,NA,NA,NA,NA,NA,"as N","This will include sampling performed routinely by our federal, state, and local governmental cooperating agencies.",NA,"N",NA,NA,NA,FALSE,"Flag","No threshold available","No threshold available",40.77413,-111.94789,"OK","N","WATER","NITROGEN","Unknown",0.2,"Result Value/Unit Copied from Detection Limit","MG/L","Nonstandardized","AS N","Valid","Valid","DISSOLVED","Valid",0.2,"MG/L","Numeric",NA,NA,"ND or NA",0,"ft","Numeric",6.56168,"ft","Numeric","Non-Detect"
"10","4500-NORG D","APHA","UTAHDWQ_WQX","Utah Department Of Environmental Quality","UTAHDWQ_WQX-CUWJPRESDC220414-5913220-0414-2-C","Sample-Integrated Vertical Profile","Water",NA,2022-04-14,"08:06:00","MST",NA,NA,NA,"Surface",NA,NA,NA,0,"m",2,"m","306","Cooperative Monitoring","Central Utah Water Conservancy District","UTAHDWQ_WQX-5913220","DEER CREEK RES AB DAM 01",NA,NA,NA,NA,"40.4091200000","-111.5235200000","DWQ-001","UTAHDWQ_WQX","Water Grab Sampling",NA,"Miscellaneous (Other)","STORET-966357769","Not Detected","as N","Nitrogen","Dissolved",NA,"mg/L","U","Accepted",NA,"Calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not detected/reported",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500 NORG D ~ Block Digestion and Flow Injection Analysis",NA,NA,"Chem-Tech Ford",2022-04-25,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/UTAHDWQ_WQX/activities/UTAHDWQ_WQX-CUWJPRESDC220414-5913220-0414-2-C/results/966357769/resdetectqntlmts","Lower Reporting Limit",1,"mg/L",NA,"2023-01-31 19:56:31.0","STORET",7,NA,2022-04-14 15:06:00,NA,"Lake",NA,"16020203",NA,NA,NA,NA,"40.4091200000","-111.5235200000",NA,NA,NA,"GPS-Unspecified","NAD83",NA,NA,NA,NA,NA,NA,"US","49","051",NA,NA,NA,NA,NA,NA,NA,NA,NA,"as N","This will include sampling performed routinely by our federal, state, and local governmental cooperating agencies.",NA,"N",NA,NA,NA,FALSE,"Flag","No threshold available","No threshold available",40.40912,-111.52352,"OK","N","WATER","NITROGEN","Unknown",1,"Result Value/Unit Copied from Detection Limit","MG/L","Nonstandardized","AS N","Valid","Valid","DISSOLVED","Valid",1,"MG/L","Numeric",NA,NA,"ND or NA",0,"ft","Numeric",6.56168,"ft","Numeric","Non-Detect"
