OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime.Time,ActivityStartTime.TimeZoneCode,ActivityEndDate,ActivityEndTime.Time,ActivityEndTime.TimeZoneCode,ActivityDepthHeightMeasure.MeasureValue,ActivityDepthHeightMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure.MeasureValue,ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,ActivityBottomDepthHeightMeasure.MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasureValue.Original,TADA.ResultMeasureValue.Flag,ResultMeasure.MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure.MeasureValue,ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,ResultAnalyticalMethod.MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure.MeasureValue,DetectionLimitMeasureValue.Original,TADA.DetectionLimitMeasureValue.Flag,DetectionQuantitationLimitMeasure.MeasureUnitCode,PreparationStartDate,ProviderName,ActivityStartDateTime,ActivityEndDateTime,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure.MeasureValue,DrainageAreaMeasure.MeasureUnitCode,ContributingDrainageAreaMeasure.MeasureValue,ContributingDrainageAreaMeasure.MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure.MeasureValue,HorizontalAccuracyMeasure.MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure.MeasureValue,VerticalMeasure.MeasureUnitCode,VerticalAccuracyMeasure.MeasureValue,VerticalAccuracyMeasure.MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure.MeasureValue,WellDepthMeasure.MeasureUnitCode,WellHoleDepthMeasure.MeasureValue,WellHoleDepthMeasure.MeasureUnitCode,MethodSpecificationName,ProjectName,ProjectDescriptionText,SamplingDesignTypeCode,QAPPApprovedIndicator,QAPPApprovalAgencyName,ProjectFileUrl,ProjectMonitoringLocationWeightingUrl
USGS-UT,USGS Utah Water Science Center,nwisut.01.02200957,Sample-Routine,WATER,Groundwater,4/27/2022,10:30:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS - Utah Water Science Center,USGS-370727113233001,NA,NA,Not applicable,Routine sample,8010,USGS parameter code 82398,Other,Inertial Pump,NA,NITRATE,DISSOLVED,3.71,3.71,Numeric,MG/L AS N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,618,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,4/27/2022 16:30,NA,(C-42-14)23abc- 1   WD-5,Well,NA,15010008,NA,NA,NA,NA,37.12434365,-113.3936173,24000,0.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2993.9,feet,0.1,feet,Global Positioning System.,NGVD29,US,49,53,NA,NA,NA,NA,19950206,160,ft,160,ft,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02200797,Sample-Routine,WATER,Surface Water,3/23/2022,12:00:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey,USGS-10172200,NA,NA,"Stable, normal stage",Routine sample,70,USGS parameter code 82398,Grab sample  (dip),Open-Mouth Bottle,Not Detected,NITRATE,DISSOLVED,NA,NA,ND or NA,NA,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,71851,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,Historical Lower Reporting Limit,0.044,0.044,Numeric,MG/L ASNO3,NA,NWIS,3/23/2022 18:00,NA,"RED BUTTE CREEK AT FORT DOUGLAS, NEAR SLC, UT",Stream,NA,16020204,7.25,sq mi,NA,NA,40.77994627,-111.806045,24000,1,seconds,Interpolated from MAP.,NAD83,5403.38,feet,0.18,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,49,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02200972,Sample-Routine,WATER,Surface Water,4/13/2022,12:30:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-10010060,NA,NA,"Stable, normal stage",Routine sample,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",US DH-81,Not Detected,NITRATE,DISSOLVED,NA,NA,ND or NA,NA,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,71851,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,Historical Lower Reporting Limit,0.044,0.044,Numeric,MG/L ASNO3,NA,NWIS,4/13/2022 18:30,NA,"Bear R Bay Outflow at Causeway Brg nr Warren, UT","Lake, Reservoir, Impoundment",NA,16020310,NA,NA,NA,NA,41.2341064,-112.3371697,NA,0.5,seconds,Interpolated from MAP.,NAD83,4210,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02200858,Sample-Routine,WATER,Surface Water,4/14/2022,12:30:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey,USGS-10168000,NA,NA,"Stable, normal stage",Routine sample,40,USGS parameter code 82398,Multiple verticals,Grab sample,NA,NITRATE,DISSOLVED,3.56,3.56,Numeric,MG/L ASNO3,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,71851,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,4/14/2022 18:30,NA,LITTLE COTTONWOOD CREEK @ JORDAN RIVER NR SLC,Stream,NA,16020204,46,sq mi,NA,NA,40.66430556,-111.898861,NA,1,seconds,Interpolated from Digital MAP.,NAD83,4254.24,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,49,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02101576,Quality Control Sample-Field Replicate,WATER,Surface Water,9/7/2021,13:30:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-10010025,NA,NA,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-95 plastic bottle,Not Detected,NITRATE,DISSOLVED,NA,NA,ND or NA,NA,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,71851,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,Historical Lower Reporting Limit,0.354,0.354,Numeric,MG/L ASNO3,NA,NWIS,9/7/2021 19:30,NA,"GSL BREACH 6 MILES E OF LAKESIDE, UT; S TO N FLOW","Lake, Reservoir, Impoundment",NA,16020310,NA,NA,NA,NA,41.2208611,-112.7663889,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4216.93,feet,0.1,feet,Reported method of determination.,NAVD88,US,49,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02101406,Sample-Routine,WATER,Groundwater,8/3/2021,11:00:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey,USGS-404532111504401,NA,NA,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,NA,NITRATE,DISSOLVED,4.42,4.42,Numeric,MG/L AS N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,618,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,8/3/2021 17:00,NA,(D- 1- 1) 4cac- 2,Well,NA,16020204,NA,NA,NA,NA,40.7587861,-111.8461139,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4678,feet,0.5,feet,"Light Detection And Ranging, airplane",NAVD88,US,49,35,Basin and Range basin-fill aquifers,NA,Valley Fill,Confined single aquifer,19560928,510,ft,510,ft,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02101510,Sample-Routine,WATER,Groundwater,8/19/2021,9:45:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey,USGS-403139111551501,NA,NA,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,NA,NITRATE,DISSOLVED,4.08,4.08,Numeric,MG/L ASNO3,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,71851,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,8/19/2021 15:45,NA,(C- 3- 1)26cad-1,Well,NA,16020204,NA,NA,NA,NA,40.5275,-111.9208333,NA,Unknown,Unknown,Unknown.,NAD83,NA,NA,NA,NA,NA,NA,US,49,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02200962,Sample-Routine,WATER,Groundwater,4/26/2022,9:15:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS - Utah Water Science Center,USGS-370655113224901,NA,NA,Not applicable,Routine sample,4040,USGS parameter code 82398,Submersible pump,Submersible centrifugal pump,Not Detected,NITRATE,DISSOLVED,NA,NA,ND or NA,NA,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,71851,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,Historical Lower Reporting Limit,0.177,0.177,Numeric,MG/L ASNO3,NA,NWIS,4/26/2022 15:15,NA,(C-42-14)24bcd- 1   WD-9,Well,NA,15010008,NA,NA,NA,NA,37.1231215,-113.3828948,NA,0.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3066,feet,0.1,feet,Global Positioning System.,NGVD29,US,49,53,NA,NA,NA,NA,20010523,155,ft,158,ft,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02101450,Sample-Routine,WATER,Groundwater,8/11/2021,10:30:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey,USGS-404059111500401,NA,NA,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,NA,NITRATE,DISSOLVED,1.46,1.46,Numeric,MG/L AS N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,618,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,8/11/2021 16:30,NA,(D- 1- 1)33ddd- 1,Well,NA,16020204,NA,NA,NA,NA,40.68315278,-111.8345083,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4490,feet,5,feet,Interpolated from topographic map.,NGVD29,US,49,35,Basin and Range basin-fill aquifers,NA,Valley Fill,Confined multiple aquifers,19640626,657,ft,664,ft,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02200794,Sample-Routine,WATER,Surface Water,3/30/2022,14:00:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey,USGS-10172200,NA,NA,Rising stage,Routine sample,70,USGS parameter code 82398,Grab sample  (dip),Open-Mouth Bottle,NA,NITRATE,DISSOLVED,0.029,0.029,Numeric,MG/L AS N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,618,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,3/30/2022 20:00,NA,"RED BUTTE CREEK AT FORT DOUGLAS, NEAR SLC, UT",Stream,NA,16020204,7.25,sq mi,NA,NA,40.77994627,-111.806045,24000,1,seconds,Interpolated from MAP.,NAD83,5403.38,feet,0.18,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,49,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
